Insect_number,Group,Age,Weight
larva01,Control,4th,0.0699
larva01,Control,5th,0.1603
larva01,Control,6th,0.504
larva01,Control,pupa,0.2333
larva02,Control,4th,0.1478
larva02,Control,5th,0.1784
larva02,Control,6th,0.5554
larva02,Control,pupa,0.2474
larva03,Control,4th,0.1573
larva03,Control,5th,0.1885
larva03,Control,6th,0.661
larva03,Control,pupa,0.2788
larva04,Control,4th,0.0622
larva04,Control,5th,0.1623
larva04,Control,6th,0.4333
larva04,Control,pupa,0.2222
larva05,Control,4th,0.0974
larva05,Control,5th,0.1795
larva05,Control,6th,0.5776
larva05,Control,pupa,0.2628
larva06,Control,4th,0.0446
larva06,Control,5th,0.1492
larva06,Control,6th,0.4334
larva06,Control,pupa,0.2146
larva07,Control,4th,0.069
larva07,Control,5th,0.1529
larva07,Control,6th,0.564
larva07,Control,pupa,0.2866
larva08,Control,4th,0.0654
larva08,Control,5th,0.1712
larva08,Control,6th,0.5381
larva08,Control,pupa,0.2207
larva09,Control,4th,0.0609
larva09,Control,5th,0.168
larva09,Control,6th,0.4963
larva09,Control,pupa,0.2187
larva10,Control,4th,0.0512
larva10,Control,5th,0.1589
larva10,Control,6th,0.4603
larva10,Control,pupa,0.2206
larva11,Control,4th,0.0554
larva11,Control,5th,0.2261
larva11,Control,6th,0.6144
larva11,Control,pupa,0.2616
larva12,Control,4th,0.1261
larva12,Control,5th,0.1697
larva12,Control,6th,0.4822
larva12,Control,pupa,0.2208
larva13,Control,4th,0.1495
larva13,Control,5th,0.1627
larva13,Control,6th,0.5609
larva13,Control,pupa,0.2386
larva14,Control,4th,0.071
larva14,Control,5th,0.1709
larva14,Control,6th,0.5526
larva14,Control,pupa,0.2574
larva15,Control,4th,0.0409
larva15,Control,5th,0.179
larva15,Control,6th,0.5768
larva15,Control,pupa,0.2828
larva16,Control,4th,0.1278
larva16,Control,5th,0.1694
larva16,Control,6th,0.5054
larva16,Control,pupa,0.2265
larva17,Control,4th,0.0596
larva17,Control,5th,0.1553
larva17,Control,6th,0.4546
larva17,Control,pupa,0.2294
larva18,Control,4th,0.0677
larva18,Control,5th,0.1406
larva18,Control,6th,0.4889
larva18,Control,pupa,0.2106
larva19,Control,4th,0.0409
larva19,Control,5th,0.1841
larva19,Control,6th,0.4884
larva19,Control,pupa,0.2358
larva20,Control,4th,0.0381
larva20,Control,5th,0.1745
larva20,Control,6th,0.498
larva20,Control,pupa,0.2361
larva21,Control,4th,0.0661
larva21,Control,5th,0.148
larva21,Control,6th,0.4408
larva21,Control,pupa,0.2069
larva22,Control,4th,0.0548
larva22,Control,5th,0.1616
larva22,Control,6th,0.4284
larva22,Control,pupa,0.2086
larva23,Control,4th,0.1353
larva23,Control,5th,0.1681
larva23,Control,6th,0.4848
larva23,Control,pupa,0.2461
larva24,Control,4th,0.1309
larva24,Control,5th,0.1367
larva24,Control,6th,0.4581
larva24,Control,pupa,0.2124
larva25,Control,4th,0.1108
larva25,Control,5th,0.1577
larva25,Control,6th,0.5464
larva25,Control,pupa,0.2522
larva26,Control,4th,0.138
larva26,Control,5th,0.1557
larva26,Control,6th,0.4311
larva26,Control,pupa,0.2262
larva27,Control,4th,0.1083
larva27,Control,5th,0.1542
larva27,Control,6th,0.4464
larva27,Control,pupa,0.2381
larva28,Control,4th,0.1294
larva28,Control,5th,0.1866
larva28,Control,6th,0.5373
larva28,Control,pupa,0.2519
larva29,Control,4th,0.0593
larva29,Control,5th,0.1594
larva29,Control,6th,0.3394
larva29,Control,pupa,0.1847
larva30,Control,4th,0.1109
larva30,Control,5th,0.1569
larva30,Control,6th,0.4312
larva30,Control,pupa,0.2304
larva01,Fed Ralstonia,4th,0.1212
larva01,Fed Ralstonia,5th,0.1564
larva01,Fed Ralstonia,6th,0.5125
larva01,Fed Ralstonia,pupa,0.2558
larva02,Fed Ralstonia,4th,0.1662
larva02,Fed Ralstonia,5th,0.2147
larva02,Fed Ralstonia,6th,0.5786
larva02,Fed Ralstonia,pupa,0.278
larva03,Fed Ralstonia,4th,0.159
larva03,Fed Ralstonia,5th,0.1897
larva03,Fed Ralstonia,6th,0.5529
larva03,Fed Ralstonia,pupa,0.2517
larva04,Fed Ralstonia,4th,0.1568
larva04,Fed Ralstonia,5th,0.1853
larva04,Fed Ralstonia,6th,0.6305
larva04,Fed Ralstonia,pupa,0.279
larva05,Fed Ralstonia,4th,0.0629
larva05,Fed Ralstonia,5th,0.1471
larva05,Fed Ralstonia,6th,0.472
larva05,Fed Ralstonia,pupa,0.2153
larva06,Fed Ralstonia,4th,0.048
larva06,Fed Ralstonia,5th,0.1949
larva06,Fed Ralstonia,6th,0.5648
larva06,Fed Ralstonia,pupa,0.2918
larva07,Fed Ralstonia,4th,0.1512
larva07,Fed Ralstonia,5th,0.2051
larva07,Fed Ralstonia,6th,0.647
larva07,Fed Ralstonia,pupa,0.2808
larva08,Fed Ralstonia,4th,0.1567
larva08,Fed Ralstonia,5th,0.1904
larva08,Fed Ralstonia,6th,0.6306
larva08,Fed Ralstonia,pupa,0.2862
larva09,Fed Ralstonia,4th,0.1618
larva09,Fed Ralstonia,5th,0.2017
larva09,Fed Ralstonia,6th,0.585
larva09,Fed Ralstonia,pupa,0.2731
larva10,Fed Ralstonia,4th,0.1514
larva10,Fed Ralstonia,5th,0.2005
larva10,Fed Ralstonia,6th,0.5941
larva10,Fed Ralstonia,pupa,0.271
larva11,Fed Ralstonia,4th,0.145
larva11,Fed Ralstonia,5th,0.173
larva11,Fed Ralstonia,6th,0.4657
larva11,Fed Ralstonia,pupa,0.2282
larva12,Fed Ralstonia,4th,0.1294
larva12,Fed Ralstonia,5th,0.1515
larva12,Fed Ralstonia,6th,0.5001
larva12,Fed Ralstonia,pupa,0.2581
larva13,Fed Ralstonia,4th,0.1677
larva13,Fed Ralstonia,5th,0.1768
larva13,Fed Ralstonia,6th,0.515
larva13,Fed Ralstonia,pupa,0.242
larva14,Fed Ralstonia,4th,0.1524
larva14,Fed Ralstonia,5th,0.1833
larva14,Fed Ralstonia,6th,0.585
larva14,Fed Ralstonia,pupa,0.2707
larva15,Fed Ralstonia,4th,0.1395
larva15,Fed Ralstonia,5th,0.1676
larva15,Fed Ralstonia,6th,0.5459
larva15,Fed Ralstonia,pupa,0.2623
larva16,Fed Ralstonia,4th,0.1357
larva16,Fed Ralstonia,5th,0.1707
larva16,Fed Ralstonia,6th,0.5713
larva16,Fed Ralstonia,pupa,0.2493
larva17,Fed Ralstonia,4th,0.1221
larva17,Fed Ralstonia,5th,0.1982
larva17,Fed Ralstonia,6th,0.5695
larva17,Fed Ralstonia,pupa,0.2674
larva18,Fed Ralstonia,4th,0.1603
larva18,Fed Ralstonia,5th,0.2058
larva18,Fed Ralstonia,6th,0.5383
larva18,Fed Ralstonia,pupa,0.275
larva19,Fed Ralstonia,4th,0.1511
larva19,Fed Ralstonia,5th,0.181
larva19,Fed Ralstonia,6th,0.5912
larva19,Fed Ralstonia,pupa,0.2625
larva20,Fed Ralstonia,4th,0.0797
larva20,Fed Ralstonia,5th,0.1375
larva20,Fed Ralstonia,6th,0.5382
larva20,Fed Ralstonia,pupa,0.2411
larva21,Fed Ralstonia,4th,0.108
larva21,Fed Ralstonia,5th,0.1403
larva21,Fed Ralstonia,6th,0.4532
larva21,Fed Ralstonia,pupa,0.225
larva22,Fed Ralstonia,4th,0.1409
larva22,Fed Ralstonia,5th,0.1733
larva22,Fed Ralstonia,6th,0.5284
larva22,Fed Ralstonia,pupa,0.2365
larva23,Fed Ralstonia,4th,0.1459
larva23,Fed Ralstonia,5th,0.214
larva23,Fed Ralstonia,6th,0.6379
larva23,Fed Ralstonia,pupa,0.2795
larva24,Fed Ralstonia,4th,0.1361
larva24,Fed Ralstonia,5th,0.1951
larva24,Fed Ralstonia,6th,0.5699
larva24,Fed Ralstonia,pupa,0.2642
larva25,Fed Ralstonia,4th,0.0422
larva25,Fed Ralstonia,5th,0.1618
larva25,Fed Ralstonia,6th,0.5211
larva25,Fed Ralstonia,pupa,0.239
larva26,Fed Ralstonia,4th,0.1154
larva26,Fed Ralstonia,5th,0.1719
larva26,Fed Ralstonia,6th,0.5508
larva26,Fed Ralstonia,pupa,0.2355
larva27,Fed Ralstonia,4th,0.1326
larva27,Fed Ralstonia,5th,0.1673
larva27,Fed Ralstonia,6th,0.4307
larva27,Fed Ralstonia,pupa,0.2291
larva28,Fed Ralstonia,4th,0.1382
larva28,Fed Ralstonia,5th,0.1826
larva28,Fed Ralstonia,6th,0.5068
larva28,Fed Ralstonia,pupa,0.2475
larva29,Fed Ralstonia,4th,0.1397
larva29,Fed Ralstonia,5th,0.1898
larva29,Fed Ralstonia,6th,0.5009
larva29,Fed Ralstonia,pupa,0.2533
larva30,Fed Ralstonia,4th,0.1634
larva30,Fed Ralstonia,5th,0.1925
larva30,Fed Ralstonia,6th,0.5333
larva30,Fed Ralstonia,pupa,0.2551
larva01,Fed Dt,4th,0.0523
larva01,Fed Dt,5th,0.1755
larva01,Fed Dt,6th,0.3914
larva02,Fed Dt,4th,0.0523
larva02,Fed Dt,5th,0.1617
larva02,Fed Dt,6th,0.4835
larva03,Fed Dt,4th,0.0501
larva03,Fed Dt,5th,0.1507
larva03,Fed Dt,6th,0.4494
larva04,Fed Dt,4th,0.0453
larva04,Fed Dt,5th,0.1363
larva04,Fed Dt,6th,0.4293
larva05,Fed Dt,4th,0.0281
larva05,Fed Dt,5th,0.1663
larva05,Fed Dt,6th,0.4165
larva06,Fed Dt,4th,0.0576
larva06,Fed Dt,5th,0.1807
larva06,Fed Dt,6th,0.5005
larva07,Fed Dt,4th,0.0539
larva07,Fed Dt,5th,0.1707
larva07,Fed Dt,6th,0.453
larva08,Fed Dt,4th,0.0382
larva08,Fed Dt,5th,0.1576
larva08,Fed Dt,6th,0.5023
larva09,Fed Dt,4th,0.0537
larva09,Fed Dt,5th,0.1752
larva09,Fed Dt,6th,0.406
larva10,Fed Dt,4th,0.0509
larva10,Fed Dt,5th,0.1597
larva10,Fed Dt,6th,0.4008
larva11,Fed Dt,4th,0.0599
larva11,Fed Dt,5th,0.1779
larva11,Fed Dt,6th,0.4633
larva12,Fed Dt,4th,0.0229
larva12,Fed Dt,5th,0.1881
larva12,Fed Dt,6th,0.4389
larva13,Fed Dt,4th,0.0518
larva13,Fed Dt,5th,0.163
larva13,Fed Dt,6th,0.4608
larva14,Fed Dt,4th,0.0304
larva14,Fed Dt,5th,0.126
larva14,Fed Dt,6th,0.4429
larva15,Fed Dt,4th,0.0534
larva15,Fed Dt,5th,0.1813
larva15,Fed Dt,6th,0.5214
larva16,Fed Dt,4th,0.1713
larva16,Fed Dt,5th,0.2454
larva16,Fed Dt,6th,0.3586
larva17,Fed Dt,4th,0.1447
larva17,Fed Dt,5th,0.1988
larva17,Fed Dt,6th,0.3763
larva18,Fed Dt,4th,0.0461
larva18,Fed Dt,5th,0.172
larva18,Fed Dt,6th,0.389
larva19,Fed Dt,4th,0.0399
larva19,Fed Dt,5th,0.1676
larva19,Fed Dt,6th,0.4144
larva20,Fed Dt,4th,0.0368
larva20,Fed Dt,5th,0.1962
larva20,Fed Dt,6th,0.5257
larva21,Fed Dt,4th,0.0517
larva21,Fed Dt,5th,0.1766
larva21,Fed Dt,6th,0.3695
larva22,Fed Dt,4th,0.0442
larva22,Fed Dt,5th,0.1618
larva22,Fed Dt,6th,0.4746
larva23,Fed Dt,4th,0.0506
larva23,Fed Dt,5th,0.1571
larva23,Fed Dt,6th,0.369
larva24,Fed Dt,4th,0.0464
larva24,Fed Dt,5th,0.1867
larva24,Fed Dt,6th,0.5485
larva25,Fed Dt,4th,0.0527
larva25,Fed Dt,5th,0.1746
larva25,Fed Dt,6th,0.4669
larva26,Fed Dt,4th,0.0505
larva26,Fed Dt,5th,0.1852
larva26,Fed Dt,6th,0.4608
larva27,Fed Dt,4th,0.0515
larva27,Fed Dt,5th,0.176
larva27,Fed Dt,6th,0.4601
larva28,Fed Dt,4th,0.0472
larva28,Fed Dt,5th,0.1625
larva28,Fed Dt,6th,0.4587
larva29,Fed Dt,4th,0.0436
larva29,Fed Dt,5th,0.1756
larva29,Fed Dt,6th,0.509
larva30,Fed Dt,4th,0.0438
larva30,Fed Dt,5th,0.167
larva30,Fed Dt,6th,0.4209
larva01,Fed Dt,pupa,0.2295
larva02,Fed Dt,pupa,0.2105
larva03,Fed Dt,pupa,0.2171
larva04,Fed Dt,pupa,0.2065
larva05,Fed Dt,pupa,0.2041
larva06,Fed Dt,pupa,0.2315
larva07,Fed Dt,pupa,0.2225
larva08,Fed Dt,pupa,0.2252
larva09,Fed Dt,pupa,0.2125
larva10,Fed Dt,pupa,0.2093
larva11,Fed Dt,pupa,0.2241
larva12,Fed Dt,pupa,0.2316
larva13,Fed Dt,pupa,0.2257
larva14,Fed Dt,pupa,0.2353
larva15,Fed Dt,pupa,0.2397
larva16,Fed Dt,pupa,0.1808
larva17,Fed Dt,pupa,0.1891
larva18,Fed Dt,pupa,0.1975
larva19,Fed Dt,pupa,0.2186
larva20,Fed Dt,pupa,0.2464
larva21,Fed Dt,pupa,0.204
larva22,Fed Dt,pupa,0.216
larva23,Fed Dt,pupa,0.1969
larva24,Fed Dt,pupa,0.2468
larva25,Fed Dt,pupa,0.2054
larva26,Fed Dt,pupa,0.1993
larva27,Fed Dt,pupa,0.2281
larva28,Fed Dt,pupa,0.2055
larva29,Fed Dt,pupa,0.2279
larva30,Fed Dt,pupa,0.2076
